raw_alpha,std.alpha,G6(smc),average_r,S/N,ase,mean,sd,median_r
anxty1,0.77,0.77,0.75,0.45,3.28,0.02,7.7,0.93,0.4
anxty2,0.75,0.75,0.72,0.43,2.99,0.02,2.92,0.98,0.41
attitude1,0.88,0.88,0.87,0.65,7.36,0.01,3.26,0.96,0.66
attitude2,0.92,0.92,0.91,0.74,11.27,0.01,2.78,1.14,0.75
BehInt1,0.95,0.95,0.92,0.85,17.55,0.01,2.89,1.09,0.86
BehInt2,0.96,0.96,0.95,0.9,26.94,0,2.38,1.2,0.89
cogread,0.77,0.77,0.78,0.4,3.27,0.02,2.84,0.8,0.38
dapriv1,0.76,0.75,0.79,0.34,3.05,0.02,3.05,1.15,0.3
dapriv2,0.8,0.79,0.86,0.39,3.86,0.02,2.98,1.27,0.27
EffExp1,0.85,0.85,0.85,0.59,5.82,0.02,3.66,0.8,0.62
EffExp2,0.89,0.9,0.88,0.69,8.75,0.01,3.89,0.83,0.67
ethicread,0.85,0.85,0.81,0.65,5.63,0.02,3.66,0.84,0.58
FacCond1,0.72,0.72,0.67,0.39,2.61,0.03,3.31,0.76,0.4
FacCond2,0.77,0.77,0.73,0.45,3.28,0.02,3.41,0.79,0.45
gattAI1,0.76,0.76,0.78,0.24,3.23,0.02,3.25,0.58,0.22
gattAI2,0.79,0.8,0.82,0.29,4.03,0.02,3.31,0.61,0.32
jobanx,0.85,0.85,0.86,0.49,5.67,0.01,4.44,1.27,0.47
learnanx,0.93,0.93,0.94,0.62,13.12,0.01,2.82,1.28,0.61
PerfExp1,0.86,0.86,0.86,0.54,5.92,0.01,3.16,0.88,0.51
PerfExp2,0.9,0.9,0.89,0.65,9.35,0.01,2.74,1.05,0.68
selfeff1,0.85,0.85,0.82,0.59,5.74,0.01,4.94,1.16,0.61
selfeff2,0.92,0.92,0.9,0.73,10.9,0.01,4.9,1.44,0.74
SocInf1,0.88,0.88,0.89,0.6,7.63,0.01,2.82,0.88,0.58
SocInf2,0.91,0.91,0.91,0.67,10.02,0.01,2.7,1,0.67
soctechblind,0.8,0.8,0.78,0.5,4.04,0.02,4.45,1.23,0.54
trust1,0.82,0.82,0.76,0.61,4.64,0.02,3.37,0.89,0.6
trust2,0.89,0.89,0.85,0.73,8.16,0.01,2.98,1.04,0.74
visionread,0.83,0.83,0.81,0.62,4.88,0.02,2.97,0.97,0.56
